IN_5_3-x:IN_6_3-x,01-01-1970 01:19:16,01-01-1970 01:20:16,HL*IN_5_0:IN_5_3-x,01-01-1970 01:19:25,01-01-1970 08:54:56,BL
IN_5_3-x:IN_6_3-x,01-01-1970 01:19:16,01-01-1970 01:20:16,HL*IN_6_0:IN_6_3-x,01-01-1970 01:19:25,01-01-1970 01:20:32,BL
IN_5_3-x:IN_6_3-x,01-01-1970 01:28:16,01-01-1970 01:29:16,HL*IN_6_3-x:IN_7_3-y,01-01-1970 01:28:24,01-01-1970 01:29:24,HL
IN_5_3-x:IN_6_3-x,01-01-1970 03:10:16,01-01-1970 03:12:16,HL*IN_4_3-x:IN_5_3-x,01-01-1970 03:10:20,01-01-1970 03:11:20,HL
IN_5_3-x:IN_6_3-x,01-01-1970 03:10:16,01-01-1970 03:12:16,HL*IN_6_3-x:IN_7_3-y,01-01-1970 03:10:24,01-01-1970 03:12:24,HL
IN_5_3-x:IN_6_3-x,01-01-1970 03:10:16,01-01-1970 03:12:16,HL*IN_5_0:IN_5_3-x,01-01-1970 03:12:11,01-01-1970 09:43:08,BL
IN_5_3-x:IN_6_3-x,01-01-1970 03:10:16,01-01-1970 03:12:16,HL*IN_5_0:IN_5_3-x,01-01-1970 03:11:10,01-01-1970 03:12:04,BL
IN_5_3-x:IN_6_3-x,01-01-1970 03:10:16,01-01-1970 03:12:16,HL*IN_6_0:IN_6_3-x,01-01-1970 03:11:10,01-01-1970 03:12:13,BL
IN_5_3-x:IN_6_3-x,01-01-1970 03:17:16,01-01-1970 03:18:16,HL*IN_6_3-x:IN_7_3-y,01-01-1970 03:17:24,01-01-1970 03:18:24,HL
IN_5_3-x:IN_6_3-x,01-01-1970 03:17:16,01-01-1970 03:18:16,HL*IN_5_0:IN_5_3-x,01-01-1970 03:17:31,01-01-1970 06:34:35,BL
IN_5_3-x:IN_6_3-x,01-01-1970 04:09:16,01-01-1970 04:10:16,HL*IN_5_0:IN_5_3-x,01-01-1970 04:10:01,01-01-1970 04:10:38,BL
IN_5_3-x:IN_6_3-x,01-01-1970 04:09:16,01-01-1970 04:10:16,HL*IN_5_0:IN_5_3-x,01-01-1970 04:09:24,01-01-1970 04:10:25,BL
IN_5_3-x:IN_6_3-x,01-01-1970 04:35:16,01-01-1970 04:36:16,HL*IN_6_3-x:IN_7_3-y,01-01-1970 04:35:24,01-01-1970 04:36:24,HL
IN_5_3-x:IN_6_3-x,01-01-1970 04:45:16,01-01-1970 04:46:16,HL*IN_6_3-x:IN_7_3-y,01-01-1970 04:45:24,01-01-1970 04:46:24,HL
IN_5_3-x:IN_6_3-x,01-01-1970 04:45:16,01-01-1970 04:46:16,HL*IN_5_0:IN_5_3-x,01-01-1970 04:46:06,01-01-1970 04:57:39,BL
IN_5_3-x:IN_6_3-x,01-01-1970 04:45:16,01-01-1970 04:46:16,HL*IN_6_0:IN_6_3-x,01-01-1970 04:45:39,01-01-1970 04:46:26,BL
IN_5_3-x:IN_6_3-x,01-01-1970 05:31:16,01-01-1970 05:32:16,HL*IN_6_3-x:IN_7_3-y,01-01-1970 05:31:24,01-01-1970 05:32:24,HL
IN_5_3-x:IN_6_3-x,01-01-1970 10:13:16,01-01-1970 10:14:16,HL*IN_6_3-x:IN_7_3-y,01-01-1970 10:13:24,01-01-1970 10:14:24,HL
IN_5_3-x:IN_6_3-x,01-01-1970 10:13:16,01-01-1970 10:14:16,HL*IN_6_0:IN_6_3-x,01-01-1970 10:13:33,01-01-1970 10:15:33,HL
IN_5_3-x:IN_6_3-x,01-01-1970 10:28:16,01-01-1970 10:29:16,HL*IN_6_3-x:IN_7_3-y,01-01-1970 10:28:24,01-01-1970 10:29:24,HL
IN_5_3-x:IN_6_3-x,01-01-1970 10:28:16,01-01-1970 10:29:16,HL*IN_6_0:IN_6_3-x,01-01-1970 10:28:43,01-01-1970 10:29:34,BL
IN_6_3-x:IN_7_3-y,01-01-1970 00:45:24,01-01-1970 00:46:24,HL*IN_7_0:IN_7_3-y,01-01-1970 00:46:06,01-01-1970 00:47:05,BL
IN_6_3-x:IN_7_3-y,01-01-1970 00:45:24,01-01-1970 00:46:24,HL*IN_6_0:IN_6_3-x,01-01-1970 00:46:06,01-01-1970 00:46:52,BL
IN_6_3-x:IN_7_3-y,01-01-1970 01:13:24,01-01-1970 01:14:24,HL*IN_7_3-y:y-S1_0,01-01-1970 01:13:35,01-01-1970 01:14:35,HL
IN_6_3-x:IN_7_3-y,01-01-1970 01:13:24,01-01-1970 01:14:24,HL*IN_7_0:IN_7_3-y,01-01-1970 01:13:36,01-01-1970 01:14:32,BL
IN_6_3-x:IN_7_3-y,01-01-1970 01:13:24,01-01-1970 01:14:24,HL*IN_6_0:IN_6_3-x,01-01-1970 01:13:36,01-01-1970 01:14:18,BL
IN_6_3-x:IN_7_3-y,01-01-1970 01:19:24,01-01-1970 01:20:24,HL*IN_7_3-y:y-S1_0,01-01-1970 01:19:35,01-01-1970 01:20:35,HL
IN_6_3-x:IN_7_3-y,01-01-1970 01:19:24,01-01-1970 01:20:24,HL*IN_7_0:IN_7_3-y,01-01-1970 01:20:00,01-01-1970 01:20:55,BL
IN_6_3-x:IN_7_3-y,01-01-1970 01:19:24,01-01-1970 01:20:24,HL*IN_6_0:IN_6_3-x,01-01-1970 01:19:25,01-01-1970 01:20:32,BL
IN_6_3-x:IN_7_3-y,01-01-1970 01:28:24,01-01-1970 01:29:24,HL*IN_7_3-y:y-S1_0,01-01-1970 01:28:35,01-01-1970 01:29:35,HL
IN_6_3-x:IN_7_3-y,01-01-1970 01:28:24,01-01-1970 01:29:24,HL*IN_7_0:IN_7_3-y,01-01-1970 01:28:51,01-01-1970 01:29:50,BL
IN_6_3-x:IN_7_3-y,01-01-1970 01:28:24,01-01-1970 01:29:24,HL*IN_7_0:IN_7_3-y,01-01-1970 01:29:18,01-01-1970 01:29:52,BL
IN_6_3-x:IN_7_3-y,01-01-1970 03:10:24,01-01-1970 03:12:24,HL*IN_7_3-y:y-S1_0,01-01-1970 03:10:35,01-01-1970 03:12:35,HL
IN_6_3-x:IN_7_3-y,01-01-1970 03:10:24,01-01-1970 03:12:24,HL*IN_7_0:IN_7_3-y,01-01-1970 03:11:45,01-01-1970 03:12:28,BL
IN_6_3-x:IN_7_3-y,01-01-1970 03:10:24,01-01-1970 03:12:24,HL*IN_7_0:IN_7_3-y,01-01-1970 03:10:39,01-01-1970 03:11:31,BL
IN_6_3-x:IN_7_3-y,01-01-1970 03:10:24,01-01-1970 03:12:24,HL*IN_6_0:IN_6_3-x,01-01-1970 03:11:10,01-01-1970 03:12:13,BL
IN_6_3-x:IN_7_3-y,01-01-1970 03:17:24,01-01-1970 03:18:24,HL*IN_7_3-y:y-S1_0,01-01-1970 03:17:35,01-01-1970 03:18:35,HL
