"195",IN_2_3-x:IN_3_3-x,1043400,3000
"195",IN_3_3-x:IN_4_3-x,1046400,2200
"195",IN_4_3-x:IN_5_3-x,1048600,56300
"195",IN_5_3-x:IN_6_3-x,1104900,7500
"195",IN_6_3-x:IN_7_3-y,1112400,11600
"4328",IN_2_0:IN_2_3-x,21221200,230000
"4328",IN_2_3-x:IN_3_3-x,21451200,2900
"4328",IN_3_3-x:IN_4_3-x,21454100,2200
"4328",IN_4_3-x:IN_5_3-x,21456300,56300
"4328",IN_5_3-x:IN_6_3-x,21512600,7500
"4328",IN_6_3-x:IN_7_3-y,21520100,11600
"4328",IN_7_3-y:y-S1_0,21531700,52900
"4328",y-S1_0:z-x,21584600,99600
"4328",z-x:IN_1_3-x,21684200,8800
"4328",IN_1_3-x:IN_2_3-x,21693000,2200
"4328",IN_2_3-x:IN_3_3-x,21695200,3000
"4328",IN_3_3-x:IN_4_3-x,21698200,2200
"4328",IN_4_3-x:IN_5_3-x,21700400,56300
"4328",IN_5_3-x:IN_6_3-x,21756700,7500
"4328",IN_6_3-x:IN_7_3-y,21764200,11600
"4328",IN_7_3-y:y-S1_0,21775800,52900
"4328",y-S1_0:y-S2_0,21828700,1300
"4328",y-S2_0:y-S3_0,21830000,1300
"9489",IN_2_0:IN_2_3-x,46394300,230000
"9489",IN_2_3-x:IN_3_3-x,46624300,2900
"9489",IN_3_3-x:IN_4_3-x,46627200,2200
"9489",IN_4_3-x:IN_5_3-x,46629400,56300
"9489",IN_5_3-x:IN_6_3-x,46685700,7500
"9489",IN_6_3-x:IN_7_3-y,46693200,11600
"1340",IN_7_0:IN_7_3-y,6499500,24600
"1340",IN_7_3-y:y-S1_0,6524100,52800
"6727",IN_3_0:IN_3_3-x,32913300,22300
"6727",IN_3_3-x:IN_4_3-x,32935600,2100
"6727",IN_4_3-x:IN_5_3-x,32937700,56300
"6727",IN_5_3-x:IN_6_3-x,32994000,7500
"6727",IN_6_3-x:IN_7_3-y,33001500,11600
"6727",IN_7_3-y:y-S1_0,33013100,52900
"6727",y-S1_0:z-x,33066000,98400
"6727",z-x:IN_1_3-x,33164400,8800
"6727",IN_1_3-x:IN_2_3-x,33173200,2200
"6727",IN_2_3-x:IN_3_3-x,33175400,3000
"6727",IN_3_3-x:IN_4_3-x,33178400,2200
"6727",IN_4_3-x:IN_5_3-x,33180600,56300
"6727",IN_5_3-x:IN_6_3-x,33236900,7500
"6727",IN_6_3-x:IN_7_3-y,33244400,11600
"6727",IN_7_3-y:y-S1_0,33256000,52900
"6727",y-S1_0:y-S2_0,33308900,1300
"6727",y-S2_0:y-S3_0,33310200,1300
